Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_Cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_Cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating
2025-02-06 00:00:00,04:59:14,CNR0000001,Cancelled by Driver,CUST54280,Prime Plus,Worli,Vashi,,,No,,Yes,Customer related issue,No,,,,,
2025-02-12 00:00:00,11:50:58,CNR0000002,Cancelled by Driver,CUST82277,eBike,Jogeshwari,Thane,,,No,,Yes,Personal & Car related issues,No,,,,,
2025-02-13 00:00:00,09:45:11,CNR0000003,Success,CUST58121,Prime Sedan,Kandivali,Panvel,3.91,13.63,No,,No,,No,,1272.45,16.31,4.19,4.89
2025-02-09 00:00:00,07:25:01,CNR0000004,Success,CUST94962,Prime SUV,Jogeshwari,Dadar,3.22,7.32,No,,No,,No,,649.64,14.89,3.55,4.73
2025-02-10 00:00:00,02:05:17,CNR0000005,Success,CUST98973,Auto,Taloja,Kharghar,8.77,11.98,No,,No,,No,,931.85,8.57,3.65,4.74
2025-02-12 00:00:00,06:42:58,CNR0000006,Success,CUST12297,eBike,Mira Road,Marine Lines,8.73,3.42,No,,No,,No,,1004.93,19.89,4.41,4.83
2025-02-06 00:00:00,16:30:18,CNR0000007,Success,CUST97612,Auto,CBD Belapur,Marine Lines,5.59,12.13,No,,No,,No,,632.16,9.01,4.09,3.91
2025-02-16 00:00:00,12:30:33,CNR0000008,Success,CUST37321,Bike,Worli,Vashi,2.4,11.19,No,,No,,No,,1041.74,6.71,4.68,4.86
2025-02-01 00:00:00,10:06:20,CNR0000009,Success,CUST85584,Mini,Kalyan,Bhayandar,2.68,3.45,No,,No,,No,,123.42,23.66,3.78,4.59
2025-02-17 00:00:00,21:05:46,CNR0000010,Success,CUST83472,Mini,Khar,Prabhadevi,9.87,10.48,No,,No,,No,,499.02,23,3.52,4.57
2025-02-02 00:00:00,14:38:18,CNR0000011,Cancelled by Customer,CUST87339,eBike,Ghansoli,Charni Road,,,Yes,AC is not working,No,,No,,,,,
2025-02-13 00:00:00,14:15:49,CNR0000012,Success,CUST39080,Prime SUV,Marine Lines,Santacruz,2.73,6.7,No,,No,,No,,1338.64,3.61,4.89,3.63
2025-02-08 00:00:00,23:30:54,CNR0000013,Success,CUST65992,eBike,Dahisar,Vile Parle,2.84,7.88,No,,No,,No,,1013.85,15.53,4.93,4.35
2025-02-14 00:00:00,15:23:38,CNR0000014,Success,CUST69163,Auto,Churchgate,Sion,6.97,9.03,No,,No,,No,,211.86,16.69,3.52,4.55
2025-02-07 00:00:00,12:04:25,CNR0000015,Success,CUST28976,eBike,Nerul,Bhayandar,3.04,14.11,No,,No,,No,,1010.46,6.31,3.96,4.62
2025-02-26 00:00:00,11:04:59,CNR0000016,Success,CUST50557,Bike,Dombivli,Ghatkopar,5.72,10.66,No,,No,,No,,1442.64,9.5,3.85,4.98
2025-02-19 00:00:00,04:52:51,CNR0000017,Cancelled by Customer,CUST21346,eBike,Taloja,Kalyan,,,Yes,Driver is not moving towards pickup location,No,,No,,,,,
2025-02-21 00:00:00,17:47:55,CNR0000018,Success,CUST35854,Mini,Charni Road,Jogeshwari,3.23,6.32,No,,No,,No,,1222.82,2.33,3.79,3.96
2025-02-06 00:00:00,16:15:31,CNR0000019,Success,CUST17509,Mini,Mulund,Colaba,2.3,11.16,No,,No,,No,,1475.86,13.98,4.77,4.11
2025-02-19 00:00:00,01:08:50,CNR0000020,Cancelled by Driver,CUST17533,eBike,Malad,Andheri,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-21 00:00:00,06:54:46,CNR0000021,Success,CUST91980,Prime Sedan,Dahisar,Dombivli,5.69,11.41,No,,No,,No,,1120.15,27.39,4.32,3.7
2025-02-12 00:00:00,02:10:21,CNR0000022,Incomplete,CUST46793,Prime Plus,Kalamboli,Vashi,,,No,,No,,Yes,Vehicle Breakdown,,,,
2025-02-11 00:00:00,02:09:46,CNR0000023,Cancelled by Customer,CUST85217,eBike,Malad,Santacruz,,,Yes,Change of plans,No,,No,,,,,
2025-02-15 00:00:00,15:47:18,CNR0000024,Success,CUST82845,Mini,Powai,Kalamboli,4.5,5.62,No,,No,,No,,1025.16,6.15,4.5,4.71
2025-02-19 00:00:00,02:02:32,CNR0000025,Success,CUST40113,eBike,Dadar,Ghansoli,6.34,9.9,No,,No,,No,,819.95,10.63,4.54,4.16
2025-02-05 00:00:00,20:44:05,CNR0000026,Success,CUST52881,Mini,Powai,Malad,4.89,4.51,No,,No,,No,,1283.25,12.99,4.76,4.27
2025-02-24 00:00:00,16:43:26,CNR0000027,Success,CUST33858,Prime Sedan,Panvel,Dombivli,4.75,7.86,No,,No,,No,,642.72,2.19,4.23,4.09
2025-02-24 00:00:00,12:42:14,CNR0000028,Success,CUST50892,Prime Plus,Prabhadevi,Kalamboli,3.09,4.92,No,,No,,No,,900.54,18.96,3.59,4.17
2025-02-10 00:00:00,08:57:42,CNR0000029,Success,CUST66376,eBike,Dombivli,Colaba,5.67,3.36,No,,No,,No,,975.47,1.62,4.71,3.89
2025-02-18 00:00:00,06:09:07,CNR0000030,Success,CUST51597,Prime SUV,Panvel,Borivali,3.98,7.37,No,,No,,No,,106.49,17.27,4.32,3.55
2025-02-24 00:00:00,15:15:42,CNR0000031,Success,CUST82607,eBike,Goregaon,Ghatkopar,9.31,12.26,No,,No,,No,,950.26,29.02,4.66,4.04
2025-02-01 00:00:00,06:36:37,CNR0000032,Success,CUST58907,eBike,Prabhadevi,Mulund,5.46,4,No,,No,,No,,608.21,7.2,4.73,4.29
2025-02-23 00:00:00,17:14:15,CNR0000033,Success,CUST96067,Bike,Goregaon,Powai,4.31,14.38,No,,No,,No,,718.97,10.73,4.16,4.07
2025-02-14 00:00:00,21:11:32,CNR0000034,Cancelled by Driver,CUST22605,Mini,CBD Belapur,Chembur,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-10 00:00:00,02:16:47,CNR0000035,Cancelled by Customer,CUST37660,Mini,Colaba,Kurla,,,Yes,Driver asked to cancel,No,,No,,,,,
2025-02-10 00:00:00,11:43:43,CNR0000036,Success,CUST86426,Prime Plus,Chembur,Panvel,6.95,14.66,No,,No,,No,,1479.36,26.9,3.51,4
2025-02-08 00:00:00,04:22:34,CNR0000037,Cancelled by Driver,CUST79172,Prime Plus,Santacruz,Worli,,,No,,Yes,Personal & Car related issues,No,,,,,
2025-02-23 00:00:00,05:51:23,CNR0000038,Success,CUST73035,Bike,Thane,Nerul,2.43,6.68,No,,No,,No,,130.74,11.1,4.52,4.36
2025-02-26 00:00:00,01:00:22,CNR0000039,Success,CUST86654,Prime Sedan,Matunga,Grant Road,8.32,11.9,No,,No,,No,,787.74,29.96,4.01,4.21
2025-02-02 00:00:00,01:53:28,CNR0000040,Cancelled by Driver,CUST93989,eBike,Koparkhairane,Belapur,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-01 00:00:00,08:41:42,CNR0000041,Success,CUST44677,Mini,Goregaon,Nerul,3.43,8.09,No,,No,,No,,1051.36,9.84,4.23,4.52
2025-02-18 00:00:00,06:58:47,CNR0000042,Success,CUST46538,Prime Sedan,Juhu,Mira Road,8.35,5.26,No,,No,,No,,305.11,3.81,3.68,3.56
2025-02-09 00:00:00,20:08:48,CNR0000043,Cancelled by Customer,CUST50346,Mini,Goregaon,Nerul,,,Yes,Driver is not moving towards pickup location,No,,No,,,,,
2025-02-25 00:00:00,00:39:34,CNR0000044,Cancelled by Customer,CUST90037,Prime Plus,Charni Road,Airoli,,,Yes,Change of plans,No,,No,,,,,
2025-02-14 00:00:00,03:11:40,CNR0000045,Cancelled by Driver,CUST87375,eBike,Mulund,Chembur,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-20 00:00:00,05:37:34,CNR0000046,Cancelled by Driver,CUST96465,Bike,Matunga,Bandra,,,No,,Yes,Personal & Car related issues,No,,,,,
2025-02-16 00:00:00,20:58:39,CNR0000047,Cancelled by Customer,CUST18156,Mini,Grant Road,Dadar,,,Yes,Change of plans,No,,No,,,,,
2025-02-11 00:00:00,06:31:43,CNR0000048,Success,CUST43878,Prime Sedan,Santacruz,CBD Belapur,4.65,13.12,No,,No,,No,,1358.62,17.79,4.79,3.67
2025-02-26 00:00:00,18:42:12,CNR0000049,Success,CUST15970,Prime Sedan,Thane,Marine Lines,2.16,8.34,No,,No,,No,,1094.56,27.92,4.36,3.69
2025-02-09 00:00:00,20:00:40,CNR0000050,Success,CUST97177,Prime SUV,Jogeshwari,Khar,9.5,10.86,No,,No,,No,,1056.03,17.41,3.87,3.64
2025-02-08 00:00:00,13:24:35,CNR0000051,Success,CUST86822,Prime Plus,Byculla,Dahisar,8.4,8.49,No,,No,,No,,137.86,8.16,4.57,4.61
2025-02-04 00:00:00,16:31:26,CNR0000052,Success,CUST92796,Bike,Mumbai Central,Mumbai Central,9.28,11.37,No,,No,,No,,1198.79,10.74,3.85,4.66
2025-02-07 00:00:00,21:30:11,CNR0000053,Success,CUST42016,Auto,Grant Road,Koparkhairane,2.37,2.09,No,,No,,No,,1361.83,16.45,3.63,4.99
2025-02-22 00:00:00,06:34:33,CNR0000054,Cancelled by Customer,CUST75609,Bike,Churchgate,Parel,,,Yes,AC is not working,No,,No,,,,,
2025-02-18 00:00:00,03:50:03,CNR0000055,Cancelled by Driver,CUST70358,Mini,Jogeshwari,Chembur,,,No,,Yes,Customer related issue,No,,,,,
2025-02-26 00:00:00,11:11:36,CNR0000056,Success,CUST44372,Prime SUV,Churchgate,Khar,5.94,5.48,No,,No,,No,,697.14,12.35,3.69,4.32
2025-02-04 00:00:00,15:35:51,CNR0000057,Cancelled by Driver,CUST61587,Prime Plus,Bandra,Prabhadevi,,,No,,Yes,Personal & Car related issues,No,,,,,
2025-02-05 00:00:00,15:55:20,CNR0000058,Success,CUST60554,Prime Plus,Mulund,Charni Road,8.05,8.35,No,,No,,No,,245.69,28.36,4.75,3.66
2025-02-25 00:00:00,03:16:46,CNR0000059,Cancelled by Customer,CUST39637,Mini,Seawoods,Grant Road,,,Yes,AC is not working,No,,No,,,,,
